Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Team Success (xG) On-Off,Matches
1550,Mato Jajalo,BIH,MF,Udinese,Serie A,34,1988,3,63,21,1.8,0.7,0,0,0,3,21,12,0.67,2,0,2,2.86,2.94,0.8,0.2,0.6,0.82,0.97,Matches
1551,Kristijan Jakić,CRO,"DF,MF",Eint Frankfurt,Bundesliga,25,1997,24,1460,61,47.7,16.2,17,79,12,7,18,4,1.58,37,21,16,0.99,1.55,28.0,17.7,10.2,0.63,0.72,Matches
1552,Karl Jakob Hein,EST,GK,Arsenal,Premier League,20,2002,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1553,Ismail Jakobs,SEN,"DF,FW",Monaco,Ligue 1,22,1999,32,1119,35,32.7,12.4,9,81,7,23,17,3,1.63,18,29,-11,-0.88,-1.78,19.9,22.3,-2.4,-0.19,-0.64,Matches
1554,Marin Jakoliš,CRO,FW,Angers,Ligue 1,25,1996,1,28,28,0.8,0.3,0,0,0,1,28,1,1.0,0,0,0,0.0,1.27,0.7,0.4,0.3,1.02,1.58,Matches
1555,Adam Jakubech,SVK,GK,Lille,Ligue 1,25,1997,0,0,0,0.0,0.0,0,0,0,0,0,19,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1556,Eldin Jakupović,SUI,GK,Everton,Premier League,37,1984,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1557,Daniel James,WAL,FW,Leeds United,Premier League,24,1997,4,198,50,5.8,2.2,2,64,0,2,36,0,1.25,5,2,3,1.36,2.29,3.9,4.1,-0.2,-0.1,0.44,Matches
1558,Daniel James,WAL,FW,Fulham,Premier League,24,1997,20,621,31,18.2,6.9,5,74,1,15,17,8,0.95,9,16,-7,-1.01,-1.3,7.3,15.4,-8.1,-1.17,-0.86,Matches
1559,Reece James,ENG,"DF,MF",Chelsea,Premier League,22,1999,16,1244,78,36.4,13.8,14,85,12,2,27,0,1.44,15,17,-2,-0.14,0.14,19.3,14.5,4.8,0.35,0.67,Matches
1560,Vitaly Janelt,GER,"MF,DF",Brentford,Premier League,24,1998,35,2208,63,64.6,24.5,24,80,13,11,26,0,1.63,34,28,6,0.24,-0.2,38.0,30.4,7.7,0.31,0.37,Matches
1561,Saidy Janko,GAM,DF,Bochum,Bundesliga,26,1995,20,1134,57,37.1,12.6,12,79,7,8,23,6,1.05,19,30,-11,-0.87,0.11,15.3,24.2,-8.9,-0.71,0.07,Matches
1562,Pontus Jansson,SWE,DF,Brentford,Premier League,31,1991,12,724,60,21.2,8.0,9,79,7,3,5,3,1.33,17,14,3,0.37,0.07,10.6,13.0,-2.5,-0.31,-0.62,Matches
1563,Tony Jantschke,GER,"DF,MF",M'Gladbach,Bundesliga,32,1990,8,99,12,3.2,1.1,1,79,0,7,3,17,2.0,3,4,-1,-0.91,-0.85,1.3,2.6,-1.3,-1.14,-1.14,Matches
1564,Adnan Januzaj,BEL,FW,Sevilla,La Liga,27,1995,2,47,24,1.4,0.5,1,45,0,1,2,12,0.0,0,0,0,0.0,0.19,0.0,0.4,-0.4,-0.72,-0.52,Matches
1565,Léo Jardim,BRA,GK,Lille,Ligue 1,27,1995,6,540,90,15.8,6.0,6,90,6,0,0,12,1.67,13,13,0,0.0,-0.66,10.4,8.7,1.7,0.28,-0.55,Matches
1566,Paweł Jaroszyński,POL,"DF,MF",Salernitana,Serie A,27,1994,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1567,Rune Jarstein,NOR,GK,Hertha BSC,Bundesliga,37,1984,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1568,Luis Javier Suárez,COL,FW,Almería,La Liga,24,1997,21,1490,71,43.6,16.6,18,79,8,3,22,0,1.05,22,28,-6,-0.36,0.1,19.7,28.3,-8.6,-0.52,-0.13,Matches
1569,Luis Javier Suárez,COL,FW,Marseille,Ligue 1,24,1997,7,293,42,8.6,3.3,2,82,0,5,26,8,2.29,8,2,6,1.84,1.24,5.7,4.4,1.3,0.41,-0.21,Matches
1570,Dany Jean,HAI,"DF,MF",Strasbourg,Ligue 1,19,2002,2,13,7,0.4,0.1,0,0,0,2,7,12,0.0,0,0,0,0.0,0.21,0.3,0.8,-0.4,-2.88,-2.72,Matches
1571,Julian Jeanvier,GUI,DF,Auxerre,Ligue 1,30,1992,22,1760,80,51.5,19.6,20,84,16,2,42,7,0.95,18,35,-17,-0.87,-0.27,20.2,30.6,-10.4,-0.53,-0.22,Matches
1572,Salim El Jebari,MAR,MF,Atlético Madrid,La Liga,18,2004,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1573,Jefferson,BRA,FW,Lyon,Ligue 1,22,1999,9,446,50,13.0,5.0,4,80,2,5,25,4,1.78,13,7,6,1.21,0.85,11.4,7.3,4.0,0.81,0.64,Matches
1574,Fredrik Jensen,FIN,"FW,MF",Augsburg,Bundesliga,24,1997,20,924,46,30.2,10.3,8,78,1,12,25,3,1.2,13,17,-4,-0.39,0.33,11.6,17.7,-6.1,-0.59,0.16,Matches
1575,Mathias Jensen,DEN,MF,Brentford,Premier League,26,1996,37,2803,76,82.0,31.1,37,76,10,0,0,0,1.51,45,40,5,0.16,-0.86,43.7,39.7,4.1,0.13,-0.28,Matches
1576,Moritz Jenz,GER,DF,Schalke 04,Bundesliga,23,1999,11,945,86,30.9,10.5,11,86,10,0,0,0,1.45,14,10,4,0.38,2.08,12.6,12.8,-0.2,-0.02,0.72,Matches
1577,Jesé,ESP,FW,Sampdoria,Serie A,29,1993,11,210,19,6.1,2.3,1,60,0,10,15,5,0.55,2,8,-6,-2.57,-1.42,2.0,4.9,-2.9,-1.25,-0.43,Matches
1578,Gabriel Jesus,BRA,FW,Arsenal,Premier League,25,1997,26,2064,79,60.4,22.9,24,84,11,2,20,0,2.23,53,23,30,1.31,0.31,43.2,23.2,20.0,0.87,0.21,Matches
1579,Juan Jesus,BRA,DF,Napoli,Serie A,31,1991,15,933,62,27.3,10.4,10,87,9,5,13,22,2.2,20,8,12,1.16,-0.18,17.6,9.6,8.0,0.77,-0.13,Matches
1580,Raúl Jiménez,MEX,FW,Wolves,Premier League,31,1991,15,846,56,24.7,9.4,8,82,5,7,27,5,0.8,7,18,-11,-1.17,-0.61,10.6,16.6,-6.0,-0.64,-0.04,Matches
1581,Pere Joan,ESP,GK,Mallorca,La Liga,20,2002,0,0,0,0.0,0.0,0,0,0,0,0,6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1582,Joaquín,ESP,"MF,FW",Betis,La Liga,41,1981,22,496,23,14.5,5.5,2,63,0,20,19,11,1.18,10,3,7,1.27,1.33,12.0,6.5,5.5,1.02,1.13,Matches
1583,John Joe,IRL,MF,Getafe,La Liga,18,2003,0,0,0,0.0,0.0,0,0,0,0,0,6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1584,Christian Joel,CUB,GK,Celta Vigo,La Liga,23,1999,0,0,0,0.0,0.0,0,0,0,0,0,13,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1585,Joelinton,BRA,"MF,FW",Newcastle Utd,Premier League,25,1996,32,2661,83,77.8,29.6,30,87,25,2,24,1,1.78,51,26,25,0.85,-0.34,55.2,31.6,23.6,0.8,-0.24,Matches
1586,Þórir Jóhann Helgason,ISL,MF,Lecce,Serie A,21,2000,12,222,19,6.5,2.5,2,45,0,10,13,24,0.58,1,4,-3,-1.22,-0.93,2.0,3.7,-1.7,-0.7,-0.57,Matches
1587,Marko Johansson,SWE,GK,Bochum,Bundesliga,23,1998,0,0,0,0.0,0.0,0,0,0,0,0,8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1588,Ben Johnson,ENG,DF,West Ham,Premier League,22,2000,17,866,51,25.3,9.6,9,82,8,8,16,10,1.24,8,13,-5,-0.52,-0.24,12.9,15.2,-2.4,-0.25,-0.2,Matches
1589,Brennan Johnson,WAL,"FW,MF",Nott'ham Forest,Premier League,21,2001,38,2934,77,85.8,32.6,33,86,21,5,20,0,1.0,30,54,-24,-0.74,0.37,31.8,52.8,-20.9,-0.64,0.1,Matches
1590,Sam Johnstone,ENG,GK,Crystal Palace,Premier League,29,1993,9,810,90,23.7,9.0,9,90,9,0,0,21,1.67,16,10,6,0.67,1.18,12.1,8.5,3.6,0.4,0.83,Matches
1591,Paul Joly,FRA,DF,Auxerre,Ligue 1,22,2000,10,867,87,25.4,9.6,10,87,9,0,0,6,0.9,9,20,-11,-1.14,-0.54,9.7,15.1,-5.4,-0.56,-0.18,Matches
1592,Curtis Jones,ENG,MF,Liverpool,Premier League,21,2001,18,1035,58,30.3,11.5,12,78,2,6,18,5,1.94,23,15,8,0.7,-0.06,23.2,15.8,7.4,0.64,0.11,Matches
1593,Frenkie de Jong,NED,MF,Barcelona,La Liga,25,1997,33,2534,77,74.1,28.2,29,83,20,4,29,1,2.33,56,20,36,1.28,-0.14,58.4,24.3,34.2,1.21,0.39,Matches
1594,Joan Jordán,ESP,MF,Sevilla,La Liga,28,1994,23,1592,69,46.5,17.7,19,78,11,4,28,4,1.26,18,28,-10,-0.57,-0.71,21.4,28.3,-6.9,-0.39,-0.34,Matches
1595,Jorginho,ITA,MF,Arsenal,Premier League,30,1991,14,855,61,25.0,9.5,9,81,6,5,25,5,1.79,20,11,9,0.95,-0.32,14.1,8.5,5.7,0.6,-0.26,Matches
1596,Jorginho,ITA,MF,Chelsea,Premier League,30,1991,18,1279,71,37.4,14.2,15,81,8,3,23,2,1.61,16,12,4,0.28,0.83,17.0,16.4,0.5,0.04,0.19,Matches
1597,Josan,ESP,"DF,MF",Elche,La Liga,32,1989,26,1078,41,31.5,12.0,9,76,4,17,23,10,0.62,13,18,-5,-0.42,0.81,13.5,28.2,-14.7,-1.23,-0.54,Matches
1598,Willian José,BRA,FW,Betis,La Liga,30,1991,28,731,26,21.4,8.1,6,76,2,22,13,7,1.61,8,11,-3,-0.37,-0.64,10.5,12.3,-1.8,-0.22,-0.34,Matches
1599,Joselito,ESP,MF,Hellas Verona,Serie A,18,2004,0,0,0,0.0,0.0,0,0,0,0,0,5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1600,Joselu,ESP,FW,Espanyol,La Liga,32,1990,34,2990,88,87.4,33.2,33,90,33,1,20,1,0.94,43,61,-18,-0.54,-0.75,42.5,53.2,-10.7,-0.32,-0.17,Matches
1601,Mateo Joseph,ENG,"FW,MF",Leeds United,Premier League,18,2003,3,26,9,0.8,0.3,0,0,0,3,9,5,0.33,0,0,0,0.0,0.8,0.6,0.3,0.4,1.23,1.76,Matches
1602,Diogo Jota,POR,FW,Liverpool,Premier League,25,1996,22,1131,51,33.1,12.6,12,76,2,10,22,0,1.95,24,19,5,0.4,-0.51,25.4,17.6,7.8,0.62,0.07,Matches
1603,Stevan Jovetić,MNE,"FW,MF",Hertha BSC,Bundesliga,32,1989,17,892,52,29.2,9.9,8,81,5,9,27,2,0.76,16,20,-4,-0.4,0.55,13.8,18.4,-4.6,-0.46,0.2,Matches
1604,Luka Jović,SRB,"FW,MF",Fiorentina,Serie A,24,1997,31,1534,49,44.9,17.0,16,76,8,15,22,4,1.19,24,23,1,0.06,-0.37,24.0,21.2,2.8,0.17,-0.25,Matches
1605,Juanmi,ESP,FW,Betis,La Liga,29,1993,22,925,42,27.0,10.3,9,75,3,13,19,3,1.68,18,18,0,0.0,-0.18,18.1,16.8,1.3,0.13,0.11,Matches
1606,Juanpe,ESP,DF,Girona,La Liga,31,1991,19,1426,75,41.7,15.8,17,83,13,2,6,11,1.21,29,25,4,0.25,0.3,18.3,24.0,-5.7,-0.36,-0.41,Matches
1607,Jubal,BRA,DF,Auxerre,Ligue 1,28,1993,37,3217,87,94.1,35.7,35,90,35,2,34,1,0.95,35,58,-23,-0.64,1.57,40.2,55.2,-15.0,-0.42,0.1,Matches
1608,Christopher Jullien,FRA,DF,Montpellier,Ligue 1,29,1993,30,2695,90,78.8,29.9,30,90,29,0,0,3,1.37,51,45,6,0.2,0.57,41.4,47.6,-6.2,-0.21,0.26,Matches
1609,Anthony Jung,GER,"DF,FW",Werder Bremen,Bundesliga,30,1991,34,2617,77,85.5,29.1,32,80,11,2,27,0,1.06,37,59,-22,-0.76,-2.59,31.6,46.3,-14.7,-0.5,-1.09,Matches
1610,Andreas Jungdal,DEN,GK,Milan,Serie A,20,2002,0,0,0,0.0,0.0,0,0,0,0,0,8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1611,Eli Junior Kroupi,FRA,"FW,MF",Lorient,Ligue 1,16,2006,1,8,8,0.2,0.1,0,0,0,1,8,2,3.0,0,0,0,0.0,0.03,0.0,0.1,0.0,-0.18,0.18,Matches
1612,Lago Junior,CIV,"FW,MF",Mallorca,La Liga,31,1990,5,52,10,1.5,0.6,0,0,0,5,10,9,0.2,0,2,-2,-3.46,-3.35,1.0,1.3,-0.3,-0.51,-0.22,Matches
1613,Hamed Junior Traorè,CIV,"FW,MF",Bournemouth,Premier League,22,2000,7,427,61,12.5,4.7,5,75,1,2,26,0,1.0,3,8,-5,-1.05,-0.18,6.7,9.9,-3.2,-0.67,0.0,Matches
1614,Hamed Junior Traorè,CIV,"MF,FW",Sassuolo,Serie A,22,2000,11,591,54,17.3,6.6,6,70,1,5,34,0,0.73,10,10,0,0.0,0.45,9.6,9.4,0.2,0.03,-0.02,Matches
1615,Vinicius Júnior,BRA,FW,Real Madrid,La Liga,22,2000,33,2823,86,82.5,31.4,32,87,21,1,30,0,2.0,58,32,26,0.83,-1.13,58.9,32.2,26.8,0.85,-0.63,Matches
1616,Marc Jurado,ESP,DF,Manchester Utd,Premier League,18,2004,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1617,Josip Juranović,CRO,DF,Union Berlin,Bundesliga,26,1995,12,935,78,30.6,10.4,10,90,10,2,18,6,1.58,12,9,3,0.29,-0.13,11.3,14.5,-3.2,-0.31,-0.24,Matches
1618,James Justin,ENG,DF,Leicester City,Premier League,24,1998,14,1252,89,36.6,13.9,14,89,12,0,0,0,1.0,23,25,-2,-0.14,0.48,15.9,20.8,-5.0,-0.36,-0.03,Matches
1619,Filip Jørgensen,DEN,GK,Villarreal,La Liga,20,2002,2,180,90,5.3,2.0,2,90,2,0,0,24,0.5,2,3,-1,-0.5,-1.06,2.4,2.8,-0.4,-0.19,-0.52,Matches
1620,Mathias Jørgensen,DEN,DF,Brentford,Premier League,32,1990,18,1103,61,32.3,12.3,11,85,9,7,24,15,1.83,17,15,2,0.16,-0.23,18.4,20.5,-2.1,-0.17,-0.52,Matches
1621,Ozan Kabak,TUR,DF,Hoffenheim,Bundesliga,22,2000,30,2388,80,78.0,26.5,28,83,21,2,31,1,1.07,34,41,-7,-0.26,0.0,36.9,39.2,-2.3,-0.09,0.02,Matches
1622,Issa Kaboré,BFA,DF,Marseille,Ligue 1,21,2001,22,1028,47,30.1,11.4,9,78,5,13,25,13,2.0,20,11,9,0.79,0.11,21.6,9.6,12.1,1.05,0.65,Matches
1623,Abdoul Kader Bamba,FRA,"FW,MF",Nantes,Ligue 1,28,1994,4,78,20,2.3,0.9,1,60,0,3,6,9,0.6,3,1,2,2.31,2.85,0.7,0.4,0.3,0.33,0.6,Matches
1624,Yaya Kader Fofana,MLI,MF,Lens,Ligue 1,18,2004,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1625,Pavel Kadeřábek,CZE,DF,Hoffenheim,Bundesliga,30,1992,26,1665,64,54.4,18.5,17,82,12,9,30,2,0.96,22,26,-4,-0.22,0.11,25.2,22.0,3.1,0.17,0.57,Matches
1626,Tino Kadewere,ZIM,"FW,MF",Mallorca,La Liga,26,1996,15,542,36,15.8,6.0,5,62,0,10,23,11,1.2,8,7,1,0.17,0.38,5.9,6.8,-0.9,-0.15,0.17,Matches
1627,Tino Kadewere,ZIM,FW,Lyon,Ligue 1,26,1996,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1628,Kaiky,BRA,DF,Almería,La Liga,18,2004,13,581,45,17.0,6.5,7,79,3,6,5,13,1.31,6,13,-7,-1.08,-0.8,6.7,13.5,-6.8,-1.06,-0.73,Matches
1629,Florian Kainz,AUT,"MF,FW",Köln,Bundesliga,29,1992,32,2344,73,76.6,26.0,31,75,5,1,31,0,1.22,37,38,-1,-0.04,0.46,36.3,31.3,5.0,0.19,0.16,Matches
1630,Gaël Kakuta,COD,FW,Lens,Ligue 1,31,1991,2,22,11,0.6,0.2,0,0,0,2,11,4,2.0,1,0,1,4.09,3.08,0.5,0.4,0.0,0.03,-0.6,Matches
1631,Sasa Kalajdzic,AUT,FW,Wolves,Premier League,25,1997,1,45,45,1.3,0.5,1,45,0,0,0,0,3.0,1,0,1,2.0,2.75,0.6,0.6,0.0,0.04,0.65,Matches
1632,Sasa Kalajdzic,AUT,FW,Stuttgart,Bundesliga,25,1997,3,233,78,7.6,2.6,3,78,1,0,0,0,0.67,3,3,0,0.0,0.38,2.9,1.4,1.5,0.6,0.57,Matches
1633,Arnaud Kalimuendo,FRA,FW,Rennes,Ligue 1,20,2002,30,1849,62,54.1,20.5,24,73,3,6,18,0,1.83,32,24,8,0.39,-0.87,31.0,26.0,5.0,0.24,-0.46,Matches
1634,Arnaud Kalimuendo,FRA,FW,Paris S-G,Ligue 1,20,2002,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1635,Yayah Kallon,SLE,"MF,FW",Hellas Verona,Serie A,21,2001,22,860,39,25.1,9.6,8,57,0,14,29,14,0.77,8,14,-6,-0.63,0.15,10.6,11.8,-1.1,-0.12,0.34,Matches
1636,Gedeon Kalulu,COD,DF,Lorient,Ligue 1,24,1997,29,2438,84,71.3,27.1,28,86,23,1,25,0,1.55,41,40,1,0.04,0.22,32.1,45.9,-13.8,-0.51,-0.53,Matches
1637,Pierre Kalulu,FRA,DF,Milan,Serie A,22,2000,34,2548,75,74.5,28.3,26,88,25,8,32,2,1.76,46,41,5,0.18,-1.47,42.7,34.3,8.4,0.3,-0.66,Matches
1638,Justin-Noël Kalumba,FRA,DF,Angers,Ligue 1,17,2004,7,546,78,16.0,6.1,7,78,3,0,0,0,0.57,8,14,-6,-0.99,0.33,5.7,12.2,-6.5,-1.07,-0.62,Matches
1639,Daichi Kamada,JPN,MF,Eint Frankfurt,Bundesliga,25,1996,32,2265,71,74.0,25.2,25,83,13,7,28,1,1.47,49,37,12,0.48,1.16,42.3,31.0,11.3,0.45,0.75,Matches
1640,Waren Kamanzi,NOR,DF,Toulouse,Ligue 1,21,2000,11,665,60,19.4,7.4,7,86,6,4,16,10,1.55,8,9,-1,-0.14,0.03,10.8,13.5,-2.7,-0.36,-0.3,Matches
1641,Abdoulaye Kamara,GUI,MF,Dortmund,Bundesliga,17,2004,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1642,Bingourou Kamara,SEN,GK,Montpellier,Ligue 1,25,1996,5,408,82,11.9,4.5,4,90,4,1,48,24,0.2,5,11,-6,-1.32,-1.59,5.0,10.3,-5.3,-1.17,-1.03,Matches
1643,Boubacar Kamara,FRA,MF,Aston Villa,Premier League,22,1999,24,1777,74,52.0,19.7,21,83,14,3,14,0,1.63,28,30,-2,-0.1,-0.48,24.2,33.1,-8.9,-0.45,-0.81,Matches
1644,Wabo Kamdem,FRA,MF,Clermont Foot,Ligue 1,19,2002,0,0,0,0.0,0.0,0,0,0,0,0,11,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1645,Dimitrije Kamenović,SRB,DF,Lazio,Serie A,22,2000,0,0,0,0.0,0.0,0,0,0,0,0,13,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1646,Jakub Kamiński,POL,"FW,DF",Wolfsburg,Bundesliga,20,2002,31,2058,66,67.3,22.9,25,76,5,6,25,2,1.48,47,27,20,0.87,1.86,37.6,33.3,4.4,0.19,0.58,Matches
1647,Marcin Kamiński,POL,DF,Schalke 04,Bundesliga,30,1992,8,632,79,20.7,7.0,7,90,7,1,2,10,1.5,13,22,-9,-1.28,-0.28,8.9,18.2,-9.2,-1.31,-1.0,Matches
1648,Kevin Kampl,SVN,MF,RB Leipzig,Bundesliga,31,1990,30,1372,46,44.8,15.2,16,69,5,14,20,3,2.03,28,20,8,0.52,-0.27,28.3,16.2,12.1,0.8,0.09,Matches
1649,Nordine Kandil,FRA,"MF,FW",Strasbourg,Ligue 1,20,2001,7,101,14,3.0,1.1,0,0,0,7,14,4,0.14,2,1,1,0.89,1.14,1.7,2.0,-0.3,-0.23,-0.05,Matches
1650,Harry Kane,ENG,FW,Tottenham,Premier League,29,1993,38,3405,90,99.6,37.8,38,90,35,0,0,0,1.58,70,62,8,0.21,6.21,56.9,49.4,7.5,0.2,0.5,Matches
1651,Lee Kang-in,KOR,"MF,FW",Mallorca,La Liga,21,2001,36,2823,78,82.5,31.4,33,83,12,3,29,0,1.31,32,32,0,0.0,0.9,29.5,34.1,-4.6,-0.15,0.86,Matches
1652,Wilfried Kanga,CIV,FW,Hertha BSC,Bundesliga,24,1998,23,1417,62,46.3,15.7,15,80,4,8,28,1,0.65,17,24,-7,-0.44,0.65,16.7,24.1,-7.4,-0.47,0.25,Matches
1653,N'Golo Kanté,FRA,MF,Chelsea,Premier League,31,1991,7,518,74,15.1,5.8,6,81,3,1,34,1,1.14,5,7,-2,-0.35,-0.13,8.0,4.9,3.1,0.54,0.73,Matches
1654,Kenan Karaman,TUR,FW,Schalke 04,Bundesliga,28,1994,21,976,46,31.9,10.8,10,76,4,11,20,5,1.05,12,28,-16,-1.48,-0.61,12.0,21.4,-9.4,-0.87,-0.52,Matches
1655,Yann Karamoh,FRA,"MF,FW",Torino,Serie A,24,1998,21,716,34,20.9,8.0,7,63,0,14,19,9,1.24,9,8,1,0.13,0.13,11.8,6.9,4.9,0.62,0.72,Matches
1656,Atakan Karazor,GER,MF,Stuttgart,Bundesliga,25,1996,29,1962,68,64.1,21.8,22,86,16,7,11,3,1.03,29,36,-7,-0.32,0.09,28.7,29.5,-0.8,-0.04,-0.29,Matches
1657,Ayman Kari,FRA,"MF,DF",Lorient,Ligue 1,17,2004,5,96,19,2.8,1.1,0,0,0,5,19,7,2.0,2,2,0,0.0,0.03,3.1,1.5,1.6,1.53,1.94,Matches
1658,Ayman Kari,FRA,MF,Paris S-G,Ligue 1,17,2004,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1659,Soudeysse Kari,FRA,MF,Nice,Ligue 1,20,2002,0,0,0,0.0,0.0,0,0,0,0,0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1660,Loris Karius,GER,GK,Newcastle Utd,Premier League,29,1993,0,0,0,0.0,0.0,0,0,0,0,0,8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1661,Jon Karrikaburu,ESP,FW,Real Sociedad,La Liga,19,2002,6,93,16,2.7,1.0,0,0,0,6,16,11,1.0,0,3,-3,-2.9,-3.42,1.5,1.8,-0.3,-0.31,-0.84,Matches
1662,Rick Karsdorp,NED,DF,Roma,Serie A,27,1995,13,711,55,20.8,7.9,8,73,2,5,26,3,1.54,10,8,2,0.25,-0.08,12.3,7.3,5.0,0.63,-0.05,Matches
1663,Denso Kasius,NED,DF,Bologna,Serie A,19,2002,7,342,49,10.0,3.8,4,69,1,3,22,5,1.14,3,7,-4,-1.05,-1.29,3.9,6.8,-2.9,-0.77,-0.71,Matches
1664,Thomas Kastanaras,GRE,"FW,DF",Stuttgart,Bundesliga,19,2003,4,72,18,2.4,0.8,1,45,0,3,9,12,0.25,0,3,-3,-3.75,-3.48,1.1,0.8,0.3,0.32,0.26,Matches
1665,Grigoris Kastanos,CYP,"MF,DF",Salernitana,Serie A,24,1998,28,1286,46,37.6,14.3,13,73,5,15,22,9,1.04,20,24,-4,-0.28,0.14,13.1,27.7,-14.6,-1.02,-0.35,Matches
1666,Daniel Katić,CRO,DF,Augsburg,Bundesliga,19,2003,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1667,Silas Katompa,COD,"FW,MF",Stuttgart,Bundesliga,23,1998,30,1992,66,65.1,22.1,23,78,6,7,27,0,1.1,30,31,-1,-0.05,0.88,28.8,25.4,3.4,0.15,0.24,Matches
1668,Eiji Kawashima,JPN,GK,Strasbourg,Ligue 1,39,1983,0,0,0,0.0,0.0,0,0,0,0,0,11,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1669,Michael Kayode,ITA,DF,Fiorentina,Serie A,18,2004,0,0,0,0.0,0.0,0,0,0,0,0,11,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1670,Moise Kean,ITA,FW,Juventus,Serie A,22,2000,28,995,36,29.1,11.1,11,64,0,17,17,2,1.89,11,8,3,0.27,-0.47,14.2,10.8,3.4,0.31,-0.07,Matches
1671,Michael Keane,ENG,DF,Everton,Premier League,29,1993,12,985,82,28.8,10.9,10,90,10,2,43,20,0.83,11,22,-11,-1.01,-0.56,14.0,23.2,-9.2,-0.84,-0.42,Matches
1672,Neeskens Kebano,COD,FW,Fulham,Premier League,30,1992,17,764,45,22.3,8.5,9,74,1,8,13,3,1.47,13,10,3,0.35,0.39,11.3,11.7,-0.4,-0.05,0.53,Matches
1673,Kévin Keben Biakolo,CMR,DF,Toulouse,Ligue 1,18,2004,11,362,33,10.6,4.0,4,68,2,7,13,8,0.82,1,8,-7,-1.74,-1.77,2.9,6.8,-3.9,-0.98,-0.96,Matches
1674,Wajdi Kechrida,TUN,DF,Salernitana,Serie A,26,1995,0,0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1675,Thilo Kehrer,GER,DF,West Ham,Premier League,25,1996,27,2230,83,65.2,24.8,25,87,23,2,27,8,1.15,26,34,-8,-0.32,0.06,31.9,31.6,0.4,0.02,0.34,Matches
1676,Check Keita,FRA,DF,Reims,Ligue 1,19,2003,9,682,76,19.9,7.6,8,81,2,1,31,13,1.89,9,6,3,0.4,0.49,13.5,9.2,4.3,0.57,0.42,Matches
1677,Naby Keïta,GUI,MF,Liverpool,Premier League,27,1995,8,293,37,8.6,3.3,3,57,0,5,24,2,1.38,2,4,-2,-0.61,-1.48,5.0,3.7,1.2,0.37,-0.22,Matches
1678,Yannik Keitel,GER,MF,Freiburg,Bundesliga,22,2000,22,682,31,22.3,7.6,8,70,2,14,9,9,1.86,13,9,4,0.53,0.41,11.8,9.5,2.3,0.31,0.42,Matches
