Rk,Player,Position
1051,Joan Gonzàlez,Central Midfield
1052,Nicolás González,Left Winger
1054,Oumar Gonzalez,Centre-Back
1055,Roberto González,Right Winger
1056,Jacek Góralski,Defensive Midfield
1057,Anthony Gordon,Left Winger
1059,Leon Goretzka,Central Midfield
1060,Andoni Gorosabel,Right-Back
1061,Robin Gosens,Left WingBack
1062,Mario Götze,Attacking Midfield
1063,Amine Gouiri,Centre-Forward
1065,Jeffrey Gouweleeuw,Centre-Back
1066,Jonathan Gradit,Centre-Back
1067,José Gragera,Central Midfield
1068,Alberto Grassi,Central Midfield
1069,Ryan Gravenberch,Central Midfield
1070,Andrew Gravillon,Centre-Back
1072,Demarai Gray,Left Winger
1073,Adrian Grbi?,Centre-Forward
1074,Ivo Grbi?,Goalkeeper
1075,Jack Grealish,Left Winger
1076,Sam Greenwood,Centre-Forward
1077,Michael Gregoritsch,Centre-Forward
1078,Dominik Greif,Goalkeeper
1079,Leo Greiml,Centre-Back
1080,Clément Grenier,Central Midfield
1081,Antoine Griezmann,Second Striker
1082,Vincenzo Grifo,Left Winger
1083,Lennart Grill,Goalkeeper
1084,Christian Groß,Defensive Midfield
1085,Pascal Groß,Central Midfield
1086,Brajan Gruda,Right Winger
1087,Ilia Gruev,Defensive Midfield
1088,Carlos Gruezo,Defensive Midfield
1089,Vicente Guaita,Goalkeeper
1090,Andrés Guardado,Central Midfield
1091,Sergi Guardiola,Centre-Forward
1093,Nemanja Gudelj,Defensive Midfield
1094,Gabriel Gudmundsson,Left-Back
1095,Gonçalo Guedes,Left Winger
1096,Axel Gueguin,Right Winger
1097,Marc Guéhi,Centre-Back
1098,Mattéo Guendouzi,Central Midfield
1099,Javier Guerra,Central Midfield
1100,Raphaël Guerreiro,Left-Back
1101,Axel Guessand,"['Series([], Name: TmPos, dtype: object)']"
1102,Evann Guessand,Centre-Forward
1103,Ander Guevara,Central Midfield
1104,Pape Gueye,Defensive Midfield
1106,Josuha Guilavogui,Defensive Midfield
1107,Frederic Guilbert,Right-Back
1108,Bruno Guimarães,Defensive Midfield
1109,Serhou Guirassy,Centre-Forward
1111,Rafik Guitane,Attacking Midfield
1112,Péter Gulácsi,Goalkeeper
1113,Manuel Gulde,Centre-Back
1114,Gerard Gumbau,Defensive Midfield
1115,Robert Gumny,Right-Back
1116,?lkay Gündo?an,Central Midfield
1117,Christian Günter,Left-Back
1118,Koray Günter,Centre-Back
1120,Gorka Guruzeta,Centre-Forward
1121,Malo Gusto,Right-Back
1122,Raúl Guti,Central Midfield
1123,Miguel Gutiérrez,Left-Back
1124,Joško Gvardiol,Centre-Back
1125,Darko Gyabi,Central Midfield
1126,Emmanuel Gyasi,Left Winger
1127,Norbert Gyömbér,Centre-Back
1128,Christian Gytkjær,Centre-Forward
1129,Erling Haaland,Centre-Forward
1130,Nicolas Haas,Central Midfield
1131,Janik Haberer,Central Midfield
1132,Alexander Hack,Centre-Back
1133,Munir El Haddadi,Centre-Forward
1134,Jaouen Hadjam,Left-Back
1135,Dennis Hadzikadunic,Centre-Back
1136,André Hahn,Right Winger
1137,Amadou Haidara,Central Midfield
1138,Massadio Haïdara,Left-Back
1139,Achraf Hakimi,Right-Back
1140,Lewis Hall,Left-Back
1141,Sébastien Haller,Centre-Forward
1142,Marcel Halstenberg,Left-Back
1143,Mathis Hamdi,Left-Back
1144,Ben Hamed Touré,Centre-Forward
1145,Romain Hamouma,Centre-Forward
1146,Saïd Hamulic,Centre-Forward
1147,Andreas Hanche-Olsen,Centre-Back
1148,Samir Handanovi?,Goalkeeper
1149,Genki Haraguchi,Attacking Midfield
1151,Amine Harit,Attacking Midfield
1152,Luke Harris,Attacking Midfield
1153,Jack Harrison,Left Winger
1154,Abdou Harroui,Central Midfield
1155,Makoto Hasebe,Defensive Midfield
1156,Haissem Hassan,Right Winger
1157,Hans Hateboer,Right-Back
1158,Kai Havertz,Centre-Forward
1159,Eden Hazard,Left Winger
1160,Thorgan Hazard,Left Winger
1161,Rhys Healey,Centre-Forward
1162,Jan Paul van Hecke,Centre-Back
1163,Jonas Hector,Left-Back
1164,Hwang Hee-chan,Centre-Forward
1165,Gauthier Hein,Right Winger
1166,Dominique Heintz,Centre-Back
1167,Dean Henderson,Goalkeeper
1168,Jordan Henderson,Central Midfield
1169,Liam Henderson,Central Midfield
1170,Jack Hendry,Centre-Back
1171,Wayne Hennessey,Goalkeeper
1172,Benjamin Henrichs,Right-Back
1173,Henrique,Left-Back
1174,Luiz Henrique,Attacking Midfield
1175,Matheus Henrique,Central Midfield
1176,Rico Henry,Left-Back
1177,Thomas Henry,Centre-Forward
1178,Christophe Hérelle,Centre-Back
1179,Mario Hermoso,Centre-Back
1180,Javi Hernández,Left-Back
1181,Aridane Hernández,Centre-Back
1182,Lucas Hernández,Centre-Back
1183,Luis Hernández,Centre-Back
1184,Mario Hernández,Right-Back
1185,Theo Hernández,Left-Back
1186,Jorge Herrando,Centre-Back
1187,Ander Herrera,Central Midfield
1188,Sergio Herrera,Goalkeeper
1189,Yangel Herrera,Central Midfield
1190,Patrick Herrmann,Right Winger
1191,Son Heung-min,Left Winger
1192,Aaron Hickey,Left-Back
1193,Isak Hien,Centre-Back
1194,Omar El Hilali,Right-Back
1195,Piero Hincapié,Centre-Back
1196,Jack Hinshelwood,"['Series([], Name: TmPos, dtype: object)']"
1197,Morten Hjulmand,Defensive Midfield
1198,Adam Hložek,Left Winger
1199,Joseph Hodge,Defensive Midfield
1200,Nicolas Höfler,Defensive Midfield
1201,Jonas Hofmann,Right Winger
1202,Philipp Hofmann,Centre-Forward
1203,Rob Holding,Centre-Back
1204,Lucas Höler,Centre-Forward
1205,Mason Holgate,Centre-Back
1206,Emil Holm,Right-Back
1207,Noah Holm,Centre-Forward
1208,Gerrit Holtmann,Left Winger
1209,Martin Hongla,Defensive Midfield
1211,Franck Honorat,Right Winger
1212,Jannes Horn,Left-Back
1213,Cédric Hountondji,Centre-Back
1214,Ilyes Housni,Centre-Forward
1215,Lukáš Hrádecký,Goalkeeper
1216,Petko Hristov,Centre-Back
1217,Ajdin Hrustic,Central Midfield
1218,Timo Hübers,Centre-Back
1219,Callum Hudson-Odoi,Right Winger
1220,Will Hughes,Central Midfield
1221,Mats Hummels,Centre-Back
1222,Adrien Hunou,Centre-Forward
1223,Denis Huseinbasic,Central Midfield
1224,Omari Hutchinson,Attacking Midfield
1225,Elseid Hysaj,Right-Back
1226,Pierre Højbjerg,Central Midfield
1227,Rasmus Højlund,Centre-Forward
1228,Iago,Left-Back
1229,Pablo Ibáñez,Central Midfield
1230,Roger Ibanez,Centre-Back
1231,Arijon Ibrahimovi?,Attacking Midfield
1232,Zlatan Ibrahimovi?,Centre-Forward
1233,Mounaim El Idrissy,Centre-Forward
1234,Antonio Iervolino,"['Series([], Name: TmPos, dtype: object)']"
1235,Iglesias,Right-Back
1236,Borja Iglesias,Centre-Forward
1237,Igor,Centre-Back
1238,Kelechi Iheanacho,Centre-Forward
1239,Jonathan Ikone,Right Winger
1240,Ivan Ili?,Central Midfield
1242,Rare? Ilie,Left Winger
1243,Samuel Iling-Junior,Left Winger
1244,Emirhan ?lkhan,Central Midfield
1246,Asier Illarramendi,Defensive Midfield
1247,Ciro Immobile,Centre-Forward
1248,Danny Ings,Centre-Forward
1250,Marcus Ingvartsen,Centre-Forward
1251,Bonke Innocent,Defensive Midfield
1252,Alexander Isak,Centre-Forward
1254,Isco,Attacking Midfield
1255,Ismaily,Left-Back
1256,Ardian Ismajli,Centre-Back
1257,Ko Itakura,Centre-Back
1258,Hiroki Ito,Centre-Back
1259,Junya Ito,Right Winger
1260,Diego Iturralde,"['Series([], Name: TmPos, dtype: object)']"
1261,Andreas Ivan,Left Winger
1262,Mihailo Ivanovi?,"['Series([], Name: TmPos, dtype: object)']"
1263,Daniel Iversen,Goalkeeper
1264,Alex Iwobi,Left Winger
1265,Armando Izzo,Centre-Back
1266,Nicolas Jackson,Right Winger
1267,Lee Jae-sung,Attacking Midfield
1268,Paul Jaeckel,Centre-Back
1269,Mato Jajalo,Defensive Midfield
1270,Kristijan Jaki?,Defensive Midfield
1271,Ismail Jakobs,Left-Back
1272,Marin Jakoliš,Left Winger
1273,Daniel James,Right Winger
1275,Reece James,Right-Back
1276,Vitaly Janelt,Defensive Midfield
1277,Saidy Janko,Right-Back
1278,Pontus Jansson,Centre-Back
1279,Tony Jantschke,Centre-Back
1280,Adnan Januzaj,Right Winger
1281,Léo Jardim,Left-Back
1282,Luis Javier Suárez,Centre-Forward
1284,Dany Jean,Left WingBack
1285,Julian Jeanvier,Centre-Back
1286,Jefferson,Central Midfield
1287,Fredrik Jensen,Attacking Midfield
1288,Mathias Jensen,Central Midfield
1289,Moritz Jenz,Centre-Back
1290,Jesé,Left Winger
1291,Gabriel Jesus,Centre-Forward
1292,Juan Jesus,Centre-Back
1293,Raúl Jiménez,Centre-Forward
1294,Joaquín,Right Winger
1295,Joelinton,Attacking Midfield
1296,Þórir Jóhann Helgason,Central Midfield
1297,Ben Johnson,Right-Back
1298,Brennan Johnson,Second Striker
1299,Sam Johnstone,Goalkeeper
1300,Paul Joly,Right-Back
1301,Curtis Jones,Central Midfield
1302,Frenkie de Jong,Central Midfield
1303,Joan Jordán,Central Midfield
1304,Jorginho,Defensive Midfield
1306,Josan,Right Winger
1307,Willian José,Centre-Forward
1308,Joselu,Centre-Forward
1309,Mateo Joseph,Centre-Forward
1310,Diogo Jota,Left Winger
1311,Stevan Joveti?,Centre-Forward
1312,Luka Jovi?,Centre-Forward
1313,Juanmi,Left Winger
1314,Juanpe,Centre-Back
1315,Jubal,Centre-Back
1316,Christopher Jullien,Centre-Back
1317,Anthony Jung,Left-Back
1318,Eli Junior Kroupi,"['Series([], Name: TmPos, dtype: object)']"
1319,Lago Junior,Left Winger
1320,Hamed Junior Traorè,Attacking Midfield
1322,Vinicius Júnior,Left Winger
1323,Josip Juranovi?,Right-Back
1324,James Justin,Right-Back
1325,Filip Jørgensen,Goalkeeper
1326,Mathias Jørgensen,Centre-Back
1327,Ozan Kabak,Centre-Back
1328,Issa Kaboré,Right-Back
1329,Abdoul Kader Bamba,Right Winger
1330,Pavel Kade?ábek,Right-Back
1331,Tino Kadewere,Centre-Forward
1332,Kaiky,Centre-Back
1333,Florian Kainz,Left Winger
1334,Gaël Kakuta,Attacking Midfield
1335,Sasa Kalajdzic,Centre-Forward
1337,Arnaud Kalimuendo,Centre-Forward
1338,Yayah Kallon,Second Striker
1339,Gedeon Kalulu,Right-Back
1340,Pierre Kalulu,Centre-Back
1341,Justin-Noël Kalumba,Right Winger
1342,Daichi Kamada,Attacking Midfield
1343,Waren Kamanzi,Right-Back
1344,Bingourou Kamara,Goalkeeper
1345,Boubacar Kamara,Defensive Midfield
1346,Jakub Kami?ski,Left Winger
1347,Marcin Kami?ski,Centre-Back
1348,Kevin Kampl,Central Midfield
1349,Nordine Kandil,Attacking Midfield
1350,Harry Kane,Centre-Forward
1351,Lee Kang-in,Centre-Forward
1352,Wilfried Kanga,Centre-Forward
1353,N'Golo Kanté,Defensive Midfield
1354,Kenan Karaman,Centre-Forward
1355,Yann Karamoh,Right Winger
1356,Atakan Karazor,Defensive Midfield
1357,Ayman Kari,Central Midfield
1358,Jon Karrikaburu,Centre-Forward
1359,Rick Karsdorp,Right-Back
1360,Denso Kasius,Right-Back
1361,Thomas Kastanaras,Centre-Forward
1362,Grigoris Kastanos,Central Midfield
1363,Silas Katompa,Right Winger
1364,Moise Kean,Centre-Forward
1365,Michael Keane,Centre-Back
1366,Neeskens Kebano,Left Winger
1367,Kévin Keben Biakolo,Centre-Back
1368,Thilo Kehrer,Centre-Back
1369,Check Keita,Centre-Back
1370,Naby Keïta,Central Midfield
1371,Yannik Keitel,Defensive Midfield
1372,Caoimhín Kelleher,Goalkeeper
1373,Lloyd Kelly,Centre-Back
1374,Marc-Oliver Kempf,Centre-Back
1375,Kenedy,Left WingBack
1376,Jonjoe Kenny,Right-Back
1377,Franck Kessié,Central Midfield
1378,Saîf-Eddine Khaoui,Attacking Midfield
1379,Wahbi Khazri,Centre-Forward
1380,Rani Khedira,Defensive Midfield
1381,Anthony Khelifa,Centre-Back
1382,Kiké,Centre-Forward
1383,Luca Kilian,Centre-Back
1384,Max Kilman,Centre-Back
1385,Joshua Kimmich,Defensive Midfield
1386,Presnel Kimpembe,Centre-Back
1387,Jakub Kiwior,Centre-Back
1389,Simon Kjær,Centre-Back
1390,Pascal Klemens,"['Series([], Name: TmPos, dtype: object)']"
1391,Mateusz Klich,Central Midfield
1392,Lukas Klostermann,Centre-Back
1393,Justin Kluivert,Left Winger
1394,Ansgar Knauff,Right Winger
1395,Robin Knoche,Centre-Back
1396,Gregor Kobel,Goalkeeper
1397,Robin Koch,Centre-Back
1398,Samuel Koeberlé,"['Series([], Name: TmPos, dtype: object)']"
1399,Rudy Kohon,Centre-Back
1400,Dominik Kohr,Central Midfield
1401,Koke,Central Midfield
1402,Sead Kolašinac,Left-Back
1403,Luca Koleosho,Left Winger
1404,Randal Kolo Muani,Centre-Forward
1405,Timothée Kolodziejczak,Centre-Back
1406,Cheick Konaté,Centre-Back
1407,Ibrahima Konaté,Centre-Back
1408,Geoffrey Kondogbia,Defensive Midfield
1409,Ibrahima Koné,Centre-Forward
1410,Kouadio Koné,Central Midfield
1411,Youssouf Koné,Left-Back
1412,Ezri Konsa,Centre-Back
1413,Teun Koopmeiners,Defensive Midfield
1414,Odilon Kossonou,Centre-Back
1415,Filip Kosti?,Left WingBack
1417,Christian Kouamé,Centre-Forward
1418,Rominigue Kouamé,Central Midfield
1419,Tomáš Koubek,Goalkeeper
1420,Kalidou Koulibaly,Centre-Back
1421,Jules Koundé,Right-Back
1422,Boubakar Kouyaté,Centre-Back
1423,Cheikhou Kouyaté,Centre-Back
1424,Mateo Kova?i?,Central Midfield
1425,Viktor Kovalenko,Attacking Midfield
1426,Soichiro Kozuki,Right Winger
1427,Emil Krafth,Right-Back
1428,Alex Král,Defensive Midfield
1429,Andrej Kramari?,Centre-Forward
1430,Christoph Kramer,Defensive Midfield
1431,Tom Krauß,Central Midfield
1432,Julian Kristoffersen,Centre-Forward
1433,Raimonds Krollis,Centre-Forward
1434,Toni Kroos,Central Midfield
1435,Rade Kruni?,Central Midfield
1436,Max Kruse,Second Striker
1437,Lukas Kübler,Right-Back
1438,Takefusa Kubo,Right Winger
1439,Dejan Kulusevski,Right Winger
1440,Sael Kumbedi,Right-Back
1441,Marash Kumbulla,Centre-Back
1442,Pierre Kunde,Central Midfield
1443,Alou Kuol,Centre-Forward
1444,Layvin Kurzawa,Left-Back
1445,Khvicha Kvaratskhelia,Left Winger
1446,Grejohn Kyei,Centre-Forward
1447,Daniel Kyereh,Attacking Midfield
1448,Giorgos Kyriakopoulos,Left-Back
1450,César de la Hoz,Central Midfield
1451,Luca de la Torre,Central Midfield
1452,Rémy Labeau Lascary,Centre-Forward
1453,Gaëtan Laborde,Centre-Forward
1455,Alexandre Lacazette,Centre-Forward
1456,Qazim Laçi,Central Midfield
1457,Maxence Lacroix,Centre-Back
1458,Alban Lafont,Goalkeeper
1459,Aïssa Laïdouni,Central Midfield
1460,Konrad Laimer,Central Midfield
1461,Stefan Lainer,Right-Back
1462,Kenny Lala,Right-Back
1463,Adam Lallana,Attacking Midfield
1464,Vassilis Lambropoulos,Centre-Back
1465,Érik Lamela,Right Winger
1466,Mohamed Lamine Bayo,Centre-Forward
1467,Sam Lammers,Centre-Forward
1469,Tariq Lamptey,Right-Back
1470,Manuel Lanzini,Attacking Midfield
1471,Aymeric Laporte,Centre-Back
1472,Julien Laporte,Centre-Back
1473,Cyle Larin,Centre-Forward
1474,Juan Larios,Left-Back
1475,Yasser Larouci,Left-Back
1476,Jordan Larsson,Right Winger
1477,Kevin Lasagna,Centre-Forward
1478,Jamaal Lascelles,Centre-Back
1479,Juanmi Latasa,Centre-Forward
1480,Toni Lato,Left-Back
1481,Danny Latza,Central Midfield
1482,Armand Lauriente,Right Winger
1484,Roméo Lavia,Defensive Midfield
1485,Lázaro,Left Winger
1486,Valentino Lazaro,Right-Back
1487,Marko Lazeti?,Centre-Forward
1488,Darko Lazovi?,Left WingBack
1489,Manuel Lazzari,Right-Back
1490,Théo Le Bris,"['Series([], Name: TmPos, dtype: object)']"
1491,Julien Le Cardinal,Right-Back
1492,Jérémy Le Douaron,Centre-Forward
1493,Enzo Le Fée,Attacking Midfield
1494,Vincent Le Goff,Left-Back
1495,Maxime Le Marchand,Centre-Back
1496,Robin Le Normand,Centre-Back
1497,Rafael Leão,Left Winger
1498,Paolo Lebas,Central Midfield
1499,Jean-Louis Leca,Goalkeeper
1500,Benjamin Lecomte,Goalkeeper
1502,Jeremías Ledesma,Goalkeeper
1503,Pierre Lees-Melou,Central Midfield
1504,Diogo Leite,Centre-Back
1505,Maxim Leitsch,Centre-Back
1506,Florian Lejeune,Centre-Back
1507,Iñigo Lekue,Right-Back
1508,Thomas Lemar,Attacking Midfield
1509,Félix Lemaréchal,Central Midfield
1510,Dexter Lembikisa,Left-Back
1511,Mario Lemina,Defensive Midfield
1513,Tim Lemperle,Centre-Forward
1514,Clément Lenglet,Centre-Back
1515,Bernd Leno,Goalkeeper
1516,Christopher Lenz,Left-Back
1517,Donovan Léon,Goalkeeper
1518,Sergio León,Centre-Forward
1519,Johann Lepenant,Defensive Midfield
1520,Mehdi Léris,Right Winger
1521,Jefferson Lerma,Defensive Midfield
1522,Benjamin Leroy,Goalkeeper
1523,Léo Leroy,Central Midfield
1524,Alexandre Letellier,Goalkeeper
1525,Ruan Levine,Right Winger
1526,Robert Lewandowski,Centre-Forward
1527,Jamie Leweling,Second Striker
1528,Jamal Lewis,Left-Back
1529,Rico Lewis,Right-Back
1530,Keane Lewis-Potter,Left Winger
1531,Dimitri Liénard,Central Midfield
1532,Philipp Lienhart,Centre-Back
1533,Matthijs de Ligt,Centre-Back
1534,Dimitris Limnios,Left Winger
1535,Victor Lindelöf,Centre-Back
1536,Jesper Lindstrøm,Attacking Midfield
1537,Karol Linetty,Central Midfield
1538,Jesse Lingard,Attacking Midfield
1539,Pol Lirola,Right-Back
1540,Mateusz Lis,Goalkeeper
1541,Marcin Listkowski,Attacking Midfield
1542,Valentino Livramento,Right-Back
1543,Dejan Ljubicic,Defensive Midfield
1544,Javier Llabrés,Left Winger
1545,Diego Llorente,Centre-Back
1547,Marcos Llorente,Central Midfield
1548,Hugo Lloris,Goalkeeper
1549,Giovani Lo Celso,Central Midfield
1550,Stanislav Lobotka,Defensive Midfield
1551,Manuel Locatelli,Defensive Midfield
1552,Luka Lochoshvili,Centre-Back
1553,Bradley Locko,Left-Back
1555,Renan Lodi,Left-Back
1556,Ruben Loftus-Cheek,Central Midfield
1557,Sean Longstaff,Central Midfield
1558,Ademola Lookman,Left Winger
1559,Anthony Lopes,Goalkeeper
1560,Rony Lopes,Right Winger
1561,David López,Centre-Back
1562,Diego López,Goalkeeper
1564,Maxime Lopez,Defensive Midfield
1565,Pau López,Goalkeeper
1566,Unai López,Central Midfield
1567,Dion Lopy,Defensive Midfield
1568,Anthony Losilla,Defensive Midfield
1569,Jordan Lotomba,Right-Back
1570,Matteo Lovato,Centre-Back
1571,Dejan Lovren,Centre-Back
1572,Sandi Lovri?,Central Midfield
1573,Jamal Lowe,Right Winger
1574,Anthony Lozano,Centre-Forward
1575,Hirving Lozano,Right Winger
1576,Pol Lozano,Central Midfield
1577,Jean Lucas,Central Midfield
1578,Jhon Lucumí,Centre-Back
1579,José Luis Gayà,Left-Back
1580,José Luis Morales,Centre-Forward
1581,José Luis Palomino,Centre-Back
1582,Douglas Luiz,Defensive Midfield
1583,Romelu Lukaku,Centre-Forward
1584,Castello Lukeba,Centre-Back
1585,Dodi Lukebakio,Right Winger
1586,Saša Luki?,Central Midfield
1588,Andriy Lunin,Goalkeeper
1589,Andrey Lunyov,Goalkeeper
1590,Sebastiano Luperto,Centre-Back
1591,Lyanco,Centre-Back
1592,Charalambos Lykogiannis,Left-Back
1593,Youssouf M'Changama,Attacking Midfield
1594,Awer Mabil,Left Winger
1595,Alexis Mac Allister,Attacking Midfield
1596,Deiver Machado,Left-Back
1597,Darwin Machís,Left Winger
1598,James Maddison,Attacking Midfield
1599,Noni Madueke,Right Winger
1600,Pablo Maffeo,Right-Back
1601,Lisandro Magallán,Centre-Back
1602,Soungoutou Magassa,Defensive Midfield
1603,Giulio Maggiore,Central Midfield
1604,Giangiacomo Magnani,Centre-Back
1605,Hugo Magnetti,Central Midfield
1606,Yohann Magnin,Defensive Midfield
1607,Harry Maguire,Centre-Back
1608,Jon Magunacelaya,Attacking Midfield
1609,Riyad Mahrez,Right Winger
1610,Arne Maier,Central Midfield
1611,Mike Maignan,Goalkeeper
1612,Linton Maina,Right Winger
1613,Kobbie Mainoo,Central Midfield
1614,Ainsley Maitland-Niles,Right WingBack
1615,Jordan Majchrzak,Centre-Forward
1616,Lovro Majer,Attacking Midfield
1617,Jean-Victor Makengo,Central Midfield
1619,Béni Makouana,Centre-Forward
1620,Nemanja Maksimovi?,Central Midfield
1621,Tyrell Malacia,Left-Back
1622,Lorenzo Malagrida,Left WingBack
1623,Daniel Maldini,Attacking Midfield
1624,Youssef Maleh,Central Midfield
1626,Donyell Malen,Centre-Forward
1627,Ruslan Malinovskyi,Attacking Midfield
1629,Hugo Mallo,Right-Back
1630,Mickael Malsa,Defensive Midfield
1631,Giorgi Mamardashvili,Goalkeeper
1632,Hianga Mananga Mbock,Central Midfield
1633,Gianluca Mancini,Centre-Back
1634,Steve Mandanda,Goalkeeper
1635,Reinildo Mandava,Left-Back
1636,Aïssa Mandi,Centre-Back
1637,Rolando Mandragora,Defensive Midfield
1638,Sadio Mané,Left Winger
1639,Orel Mangala,Central Midfield
1640,Thomas Mangani,Central Midfield
1641,Vito Mannone,Goalkeeper
1642,Javier Manquillo,Right-Back
1643,Myziane Maolida,Left Winger
1645,Faitout Maouassa,Left-Back
1646,Sekou Mara,Centre-Forward
1647,Marcão,Centre-Back
1648,Solly March,Left WingBack
1649,Agustín Marchesín,Goalkeeper
1650,Federico Marchetti,Goalkeeper
1651,Vincent Marchetti,Defensive Midfield
1652,Riccardo Marchizza,Left-Back
1653,Gian Marco Ferrari,Centre-Back
1654,Emiliano Marcondes,Attacking Midfield
1655,Óscar de Marcos,Right-Back
1656,Alberto Marí,Centre-Forward
1657,José Mari,Defensive Midfield
1658,Pablo Marí,Centre-Back
1659,José María Giménez,Centre-Back
1660,Mariano,Centre-Forward
1661,Pablo Marín,Attacking Midfield
1662,R?zvan Marin,Central Midfield
1663,Diego Mariño,Goalkeeper
1664,Guillermo Maripán,Centre-Back
1665,Marlon,Centre-Back
1666,Omar Marmoush,Left Winger
1667,Marquinhos,Centre-Back
1669,Luca Marrone,Centre-Back
1670,Eric Martel,Defensive Midfield
1671,Roger Martí,Centre-Forward
1673,Anthony Martial,Centre-Forward
1674,Aarón Martín,Left-Back
1675,Ander Martin,Right Winger
1676,Andrés Martín,Centre-Forward
1677,Carlos Martín,Centre-Forward
1678,Iván Martín,Attacking Midfield
1679,Jonas Martin,Defensive Midfield
1680,Gabriel Martinelli,Left Winger
1681,Arnau Martinez,Right-Back
1682,Emiliano Martínez,Goalkeeper
1683,Iñigo Martínez,Centre-Back
1684,Lautaro Martínez,Centre-Forward
1685,Lisandro Martínez,Centre-Back
1686,Lucas Martínez Quarta,Centre-Back
1687,Roger Martínez,Centre-Forward
1688,Gelson Martins,Right Winger
1689,Adam Maruši?,Right-Back
1690,Omar Mascarell,Defensive Midfield
1691,Adam Masina,Left-Back
1692,Jordi Masip,Goalkeeper
1693,Erhan Mašovi?,Centre-Back
1694,Han-Noah Massengo,Central Midfield
1695,Yanis Massolin,Central Midfield
1696,Jaime Mata,Centre-Forward
1697,Pape Matar Sarr,Defensive Midfield
1698,Eliot Matazo,Central Midfield
1699,Jean-Philippe Mateta,Centre-Forward
1700,Nemanja Mati?,Defensive Midfield
1701,Joël Matip,Centre-Back
1702,Henning Matriciani,Right-Back
1703,Chrislain Matsima,Centre-Back
1705,Jean Mattéo Bahoya,Attacking Midfield
1706,Azor Matusiwa,Defensive Midfield
1707,Neal Maupay,Centre-Forward
1708,Aïman Maurer,Attacking Midfield
1709,Stephy Mavididi,Left Winger
1710,Konstantinos Mavropanos,Centre-Back
1711,Christian Mawissa,Centre-Back
1712,Philipp Max,Left-Back
1713,Eric Maxim Choupo-Moting,Centre-Forward
1714,Luís Maximiano,Goalkeeper
1715,Keke Maximilian Topp,Centre-Forward
1716,Fernand Mayembo,Centre-Back
1717,Borja Mayoral,Centre-Forward
1718,Ibrahim Maza,Centre-Forward
1719,Derek Mazou-Sacko,Central Midfield
1720,Noussair Mazraoui,Right-Back
1721,Pasquale Mazzocchi,Right-Back
1722,Kevin Mbabu,Right-Back
1723,Noah Mbamba,"['Series([], Name: TmPos, dtype: object)']"
1724,Kylian Mbappé,Centre-Forward
1725,Mamadou Mbaye,Centre-Back
1726,Chancel Mbemba,Centre-Back
1727,Bryan Mbeumo,Right Winger
1728,Jason Mbock,Left Winger
1729,Jean-Manuel Mbom,Central Midfield
1730,Nathanael Mbuku,Left Winger
1732,James McArthur,Central Midfield
1733,Alex McCarthy,Goalkeeper
1734,John McGinn,Central Midfield
1735,Scott McKenna,Centre-Back
1736,Weston McKennie,Central Midfield
1738,Dwight McNeil,Left Winger
1739,Scott McTominay,Defensive Midfield
1740,Gary Medel,Centre-Back
1741,Facundo Medina,Centre-Back
1742,Fernando Medrano,Left-Back
1743,Ben Mee,Centre-Back
1744,Bamo Meïté,Defensive Midfield
1745,Soualiho Meïté,Central Midfield
1746,Farid El Melali,Right Winger
1747,Gonzalo Melero,Central Midfield
1748,Birger Meling,Left-Back
1749,Memphis,Centre-Forward
1751,Houboulang Mendes,Right-Back
1752,Nuno Mendes,Left-Back
1753,Pedro Mendes,Centre-Back
1754,Thiago Mendes,Defensive Midfield
1755,Brais Méndez,Right Winger
1756,Diego Méndez,Defensive Midfield
1757,Antoine Mendy,Right-Back
1758,Arial Mendy,Left-Back
1759,Batista Mendy,Defensive Midfield
1760,Edouard Mendy,Goalkeeper
1761,Ferland Mendy,Left-Back
1762,Nampalys Mendy,Defensive Midfield
1763,Gideon Mensah,Left-Back
1764,Chris Mepham,Centre-Back
1765,Jorge Meré,Centre-Back
1766,Alex Meret,Goalkeeper
1767,Mikel Merino,Central Midfield
1768,Quentin Merlin,Left-Back
1769,Y?ld?r?m Mert Çetin,Centre-Back
1770,Roque Mesa,Central Midfield
1771,Illan Meslier,Goalkeeper
1772,Lionel Messi,Right Winger
1773,Junior Messias,Right Winger
1774,Amine Messoussa,"['Series([], Name: TmPos, dtype: object)']"
1775,Thomas Meunier,Right-Back
1776,Alexander Meyer,Goalkeeper
1777,Sven Michel,Centre-Forward
1778,Alex Mighten,Left Winger
1779,Tommaso Milanese,Central Midfield
1780,Nikola Milenkovi?,Centre-Back
1781,Lewis Miley,"['Series([], Name: TmPos, dtype: object)']"
1782,Arkadiusz Milik,Centre-Forward
1784,Sergej Milinkovi?-Savi?,Central Midfield
1785,Vanja Milinkovi?-Savi?,Goalkeeper
1786,Éder Militão,Centre-Back
1787,Luka Milivojevi?,Defensive Midfield
1788,Luis Milla,Central Midfield
1789,Pere Milla,Left Winger
1790,Enzo Millot,Central Midfield
1791,James Milner,Central Midfield
1792,Marko Milovanovi?,Centre-Forward
1793,Kim Min-jae,Centre-Back
1794,Yerry Mina,Centre-Back
1795,Takumi Minamino,Left Winger
1796,Tyrone Mings,Centre-Back
1797,Óscar Mingueza,Centre-Back
1798,Rafa Mir,Centre-Forward
1799,Aleksei Miranchuk,Attacking Midfield
1800,Juan Miranda,Left-Back
